Name,Task_description,Picture_description,AvgScoreMale,AvgScoreFemale
Anagram,"Participants had to solve as many  <strong>Anagram tasks</strong> as possible within a given time. In each task, they had to arrange four pairs of letters to form a word like in the example below. For each correct solution, participants earned one point.<b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, the correct answer was ""STANDING"". Writing ""Standing"" would earn one point.",110.4972376,89.50276243
Ball-bucket,"In this task, participants were given 10 tennis balls that they had to throw into a small basket which was placed 10 feet away.  <br>For each successful throw they earned 10 points. <br>    <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, the participant's perspective is depicted. Each ball successfully thrown into the bucket would earn 10 points.",101.2709504,98.72904957
Spot-the-difference,"In this task, participants were shown two very similar pictures. There were 10 differences between the two pictures. Participants had to spot as many of the 10 differences as they could within a given time limit. They could spot these differences by placing up to 10 circles on the right picture.  For each difference correctly spotted, participants earned 10 points. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, 3 of the 10 differences between the pictures are marked. Each of these differences would earn 10 points.",94.94872769,105.0512723
Count-numbers,"Participants had to solve as many <strong>Count-numbers tasks</strong> tasks as possible within a given time. In each task, they had to count the number of ones in a 5x5 matrix. <br> For each correct solution, they earned 10 points. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, there are twelve ""1""s, so inputting 12 would earn ten points.",100.3009027,99.69909729
Data-search,"Participants were given a list of 500 companies. Their task was to scrape basic information (company name, share price, profit, number of employees) about these companies from a specific website and input it into the computer. They had to do this for as many companies as they could within a given time limit. For each piece of information correctly inputted, participants earned one point. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, the correct answers were: company name: Apple Inc.; Share price: 192.42, etc. Each of these inputs would earn one point.",103.626943,96.37305699
Emotion-recognition,"Participants had to solve as many <strong>Emotion-recognition tasks</strong> as they could within a given time. In each task, there was a picture of a person displaying a particular emotion. Out of a set of four given options, participants had to choose the emotion that matches the one on the picture. For each correct answer, they earned one point. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, the correct answer was ""Anger"". Selecting ""Anger"" would earn one point.",100.6542526,99.34574736
Find-hidden-words,"Participants had to solve as many <strong>Find-hidden-words tasks</strong> as possible within a given time. In each task, there was a 10x10 matrix containing letters. Participants had to find as many of the hidden words as they could. At any point, participants were free to skip and move on to the next matrix. Each matrix came with multiple possibe solutions. Participants earned one point for every word they correctly spotted. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here the correct answers were: Code, Star, World, Moon, Earth, Hello, etc (marked in colors only for your ease of reading; for participants in the experiment, there was no marking). Each of these answers earned one point.",100.6542526,99.34574736
Math,"Participants had to solve as many <strong>Math tasks</strong> as possible within a given time. In each task, participants saw a deck of 12 cards on the screen. On the hidden side of these cards, there were additions of two single-digit numbers each. There were 6 pairs of cards whose addition gave the same result (for example, 7+1 and 6+2). Participants had to click on two cards at a time to reveal the addition on the hidden side of the card to find the matching pairs. Each time a matching pair was found, these two cards disappeared and participants earned one point.  Each time non-matching cards were selected, these cards were flipped over again. Once a participant found all 6 matching pairs, another deck of 12 cards was displayed. For each detected matching pair in each task, participants earned 1 point. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, the first and the third cells on the first column add up to 3, therefore flipping those two cells earns one point. ",102.7749229,97.22507708
Memory,"Participants had to solve as many <strong>Memory tasks</strong> as possible within a given time. In each task, participants saw 12 cards on the screen. On the hidden side of these cards, there were additions of two single-digit numbers each. There were 6 pairs of cards whose addition gave the same result (for example, 7+1 and 6+2). Participants had to click on two cards at a time to reveal the addition on the hidden side of the card to find the matching pairs. Each time a matching pair was found, these two cards disappeared and participants earned one point.  Each time non-matching cards were selected, these cards were flipped over again. Once a participant found all 6 matching pairs, another deck of 12 cards was displayed. For each detected matching pair in each task, participants earned 1 point. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, the first and the third cells on the first column add up to 3, therefore flipping those two cells earns one point. ",99.00990099,100.990099
Search-summation,"Participants had to solve as many <strong>Search-summation tasks</strong> as possible within a given time. In each task, there was a matrix containing 9 two-digit numbers. Participants had to find the two numbers in this matrix that sum up to 100. For each correct answer, they earned one point. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, 85 and 15 are the two numbers that add up to 100. Therefore, selecting 85 and 15 earned one point.",111.1111111,88.88888889
